Sample in Buffer	Sample in Window	adc_ch0
0	0	10596	
1	1	19721	
2	2	24541	
3	3	24020	
4	4	18087	
5	5	8142	
6	6	-3757	
7	7	-14737	
8	8	-22359	
9	9	-25003	
10	10	-22099	
11	11	-14452	
12	12	-3613	
13	13	7816	
14	14	17721	
15	15	23786	
16	16	24696	
17	17	20151	
18	18	10656	
19	19	-843	
20	20	-12080	
21	21	-20844	
22	22	-24867	
23	23	-23279	
24	24	-16770	
25	25	-6760	
26	26	5008	
27	27	15570	
28	28	22759	
29	29	24980	
30	30	21723	
31	31	13351	
32	32	2017	
33	33	-9656	
34	34	-19129	
35	35	-24356	
36	36	-24260	
37	37	-18893	
38	38	-9536	
39	39	2173	
40	40	13247	
41	41	21161	
42	42	24898	
43	43	23114	
44	44	15781	
45	45	4949	
46	46	-6757	
47	47	-17136	
48	48	-23685	
49	49	-24744	
50	50	-20608	
51	51	-12333	
52	52	-984	
53	53	10708	
54	54	19645	
55	55	24510	
56	56	24104	
57	57	18007	
58	58	8038	
59	59	-3730	
60	60	-14538	
61	61	-22295	
62	62	-25001	
63	63	-22205	
64	64	-14567	
65	65	-3654	
66	66	8056	
67	67	17932	
68	68	23865	
69	69	24646	
70	70	20015	
71	71	10887	
72	72	-521	
73	73	-12093	
74	74	-20915	
75	75	-24876	
76	76	-23412	
77	77	-16940	
78	78	-6767	
79	79	5058	
80	80	15570	
81	81	22741	
82	82	24977	
83	83	21653	
84	84	13442	
85	85	2142	
86	86	-9485	
87	87	-19050	
88	88	-24380	
89	89	-24220	
90	90	-18915	
91	91	-9435	
92	92	2224	
93	93	13193	
94	94	21350	
95	95	24919	
96	96	23073	
97	97	16014	
98	98	5132	
99	99	-6636	
100	100	-16994	
101	101	-23519	
102	102	-24796	
103	103	-20659	
104	104	-11926	
105	105	-684	
106	106	10610	
107	107	19627	
108	108	24532	
109	109	24032	
110	110	18096	
111	111	7920	
112	112	-3588	
113	113	-14710	
114	114	-22304	
115	115	-25010	
116	116	-22154	
117	117	-14541	
118	118	-3797	
119	119	7777	
120	120	17772	
121	121	23858	
122	122	24665	
123	123	20005	
124	124	10899	
125	125	-622	
126	126	-12166	
127	127	-20852	
128	128	-24855	
129	129	-23383	
130	130	-16729	
131	131	-6614	
132	132	5080	
133	133	15456	
134	134	22741	
135	135	24987	
136	136	21736	
137	137	13634	
138	138	2302	
139	139	-9470	
140	140	-19076	
141	141	-24370	
142	142	-24227	
143	143	-18776	
144	144	-9326	
145	145	2167	
146	146	13136	
147	147	21344	
148	148	24936	
149	149	23006	
150	150	15942	
151	151	5245	
152	152	-6509	
153	153	-16980	
154	154	-23485	
155	155	-24811	
156	156	-20672	
157	157	-11943	
158	158	-870	
159	159	10596	
160	160	19713	
161	161	24553	
162	162	24010	
163	163	18139	
164	164	8127	
165	165	-3724	
166	166	-14699	
167	167	-22408	
168	168	-25000	
169	169	-22127	
170	170	-14445	
171	171	-3710	
172	172	7800	
173	173	17685	
174	174	23752	
175	175	24695	
176	176	20087	
177	177	10903	
178	178	-719	
179	179	-12216	
180	180	-20886	
181	181	-24866	
182	182	-23377	
183	183	-16767	
184	184	-6539	
185	185	5022	
186	186	15566	
187	187	22727	
188	188	24986	
189	189	21753	
190	190	13534	
191	191	2336	
192	192	-9557	
193	193	-19082	
194	194	-24368	
195	195	-24252	
196	196	-18788	
197	197	-9189	
198	198	2240	
199	199	13240	
200	200	21213	
201	201	24925	
202	202	23107	
203	203	16045	
204	204	5264	
205	205	-6588	
206	206	-17027	
207	207	-23538	
208	208	-24809	
209	209	-20649	
210	210	-11976	
211	211	-844	
212	212	10637	
213	213	19596	
214	214	24538	
215	215	24060	
216	216	18170	
217	217	8192	
218	218	-3729	
219	219	-14676	
220	220	-22396	
221	221	-25004	
222	222	-22155	
223	223	-14404	
224	224	-3696	
225	225	7847	
226	226	17629	
227	227	23758	
228	228	24700	
229	229	20115	
230	230	11020	
231	231	-638	
232	232	-12116	
233	233	-20836	
234	234	-24866	
235	235	-23347	
236	236	-16765	
237	237	-6540	
238	238	5026	
239	239	15539	
240	240	22724	
241	241	24989	
242	242	21695	
243	243	13548	
244	244	2350	
245	245	-9494	
246	246	-19068	
247	247	-24368	
248	248	-24246	
249	249	-18829	
250	250	-9418	
251	251	2061	
252	252	13061	
253	253	21302	
254	254	24922	
255	255	23057	
256	256	15961	
257	257	5257	
258	258	-6647	
259	259	-17037	
260	260	-23510	
261	261	-24803	
262	262	-20637	
263	263	-12031	
264	264	-799	
265	265	10498	
266	266	19629	
267	267	24522	
268	268	24030	
269	269	18148	
270	270	8068	
271	271	-3674	
272	272	-14753	
273	273	-22333	
274	274	-25008	
275	275	-22129	
276	276	-14502	
277	277	-3760	
278	278	7769	
279	279	17662	
280	280	23780	
281	281	24671	
282	282	20083	
283	283	10871	
284	284	-762	
285	285	-12085	
286	286	-20889	
287	287	-24862	
288	288	-23380	
289	289	-16873	
290	290	-6695	
291	291	4791	
292	292	15579	
293	293	22631	
294	294	24988	
295	295	21694	
296	296	13515	
297	297	2131	
298	298	-9525	
299	299	-19182	
300	300	-24395	
301	301	-24246	
302	302	-18900	
303	303	-9202	
304	304	2124	
305	305	13204	
306	306	21285	
307	307	24928	
308	308	23084	
309	309	15992	
310	310	5324	
311	311	-6656	
312	312	-16976	
313	313	-23522	
314	314	-24804	
315	315	-20675	
316	316	-12091	
317	317	-800	
318	318	10508	
319	319	19684	
320	320	24519	
321	321	24029	
322	322	18131	
323	323	8082	
324	324	-3795	
325	325	-14628	
326	326	-22404	
327	327	-24992	
328	328	-22146	
329	329	-14544	
330	330	-3687	
331	331	7690	
332	332	17741	
333	333	23775	
334	334	24699	
335	335	20187	
336	336	11049	
337	337	-633	
338	338	-12103	
339	339	-20852	
340	340	-24843	
341	341	-23341	
342	342	-16741	
343	343	-6585	
344	344	5130	
345	345	15587	
346	346	22775	
347	347	24985	
348	348	21748	
349	349	13540	
350	350	2360	
351	351	-9685	
352	352	-19244	
353	353	-24356	
354	354	-24243	
355	355	-18909	
356	356	-9436	
357	357	2017	
358	358	13070	
359	359	21276	
360	360	24923	
361	361	23059	
362	362	15842	
363	363	5347	
364	364	-6711	
365	365	-16926	
366	366	-23516	
367	367	-24806	
368	368	-20647	
369	369	-11975	
