Sample in Buffer	Sample in Window	dsp_q_monit	dsp_sum_monit	dsp_x_monit	dsp_y_monit
0	0	33019	203045	-3464	61948	
1	1	33087	203027	-3453	61687	
2	2	32972	203009	-3523	61590	
3	3	32811	203035	-3512	61808	
4	4	32920	203003	-3863	61563	
5	5	32850	202975	-3855	61554	
6	6	33193	202985	-4018	61231	
7	7	33358	202981	-4087	60656	
8	8	33366	203011	-4021	60625	
9	9	33166	203027	-4050	60616	
10	10	33216	203035	-3946	60799	
11	11	33106	203023	-3680	60935	
12	12	33088	203003	-3886	60695	
13	13	32800	203027	-4136	60759	
14	14	32950	202987	-4325	60794	
15	15	33100	202945	-4424	60787	
16	16	33339	202951	-4375	60795	
17	17	33527	202939	-4386	60398	
18	18	33670	202959	-4242	60521	
19	19	33556	202977	-4296	60435	
20	20	33795	202983	-4305	60442	
21	21	34000	202967	-4237	60442	
22	22	33963	202949	-4298	60188	
23	23	33526	202979	-4393	60656	
24	24	33432	202947	-4374	60756	
25	25	33102	202921	-4454	60520	
26	26	33223	202927	-4552	60538	
27	27	33444	202913	-4598	59998	
28	28	33284	202933	-4222	60223	
29	29	33110	202949	-3520	61185	
30	30	32504	202957	-3398	61249	
31	31	32576	202951	-3328	61184	
32	32	32757	202923	-3186	61336	
33	33	32325	202949	-3194	61773	
34	34	32321	202925	-3391	61891	
35	35	32184	202897	-3719	61582	
36	36	32526	202909	-3518	61806	
37	37	32652	202901	-3744	61235	
38	38	32637	202921	-3536	61308	
39	39	32488	202951	-3537	61302	
40	40	32408	202955	-3616	61185	
41	41	32607	202957	-3267	61464	
42	42	32533	202933	-3417	61154	
43	43	32311	202951	-3481	61233	
44	44	32302	202931	-3701	61335	
45	45	32279	202883	-3915	60968	
46	46	32624	202889	-3791	61131	
47	47	32691	202885	-3813	60743	
48	48	32758	202909	-3560	60737	
49	49	32589	202935	-3419	60930	
50	50	32494	202951	-3205	61048	
51	51	32467	202955	-3047	61261	
52	52	32572	202925	-2975	61224	
53	53	32190	202951	-2952	61564	
54	54	32018	202933	-2858	62203	
55	55	31574	202877	-2541	62564	
56	56	31222	202889	-2383	62918	
57	57	31353	202879	-2440	62555	
58	58	31290	202889	-2219	62578	
59	59	31117	202913	-1882	62905	
60	60	31056	202925	-1970	62804	
61	61	31107	202929	-1755	62862	
62	62	31127	202907	-1874	62389	
63	63	30908	202925	-1896	62679	
64	64	30710	202907	-2031	62859	
65	65	30657	202851	-2155	62558	
66	66	30555	202869	-2089	62699	
67	67	30831	202869	-2158	62377	
68	68	30858	202883	-2014	62319	
69	69	30635	202917	-1801	62539	
70	70	30597	202931	-1689	62651	
71	71	30621	202937	-1491	62907	
72	72	30694	202911	-1541	62829	
73	73	30455	202919	-1529	63034	
74	74	30260	202925	-1772	63347	
75	75	30397	202869	-1900	63413	
76	76	30465	202869	-1873	63616	
77	77	30816	202865	-2003	63228	
78	78	30915	202863	-2045	63172	
79	79	30732	202887	-1791	63502	
80	80	30785	202887	-1709	63620	
81	81	30729	202879	-1529	63748	
82	82	30668	202841	-1624	63440	
83	83	30211	202847	-1594	63612	
84	84	29958	202863	-1745	63953	
85	85	29844	202805	-1908	63749	
86	86	29764	202815	-1729	63668	
87	87	29953	202819	-1812	63322	
88	88	29987	202823	-1756	63067	
89	89	30096	202861	-1340	63472	
90	90	30194	202869	-1417	63322	
91	91	30349	202879	-1213	63446	
92	92	30626	202865	-1268	63235	
93	93	30400	202871	-1236	63259	
94	94	30212	202887	-1388	63562	
95	95	30283	202835	-1581	63496	
96	96	30171	202833	-1559	63745	
97	97	30359	202833	-1711	63625	
98	98	30467	202825	-1792	63270	
99	99	30238	202857	-1404	63555	
100	100	30082	202873	-1475	63433	
101	101	30113	202885	-1238	63657	
102	102	30220	202865	-1300	63754	
103	103	30099	202849	-1199	63724	
104	104	29940	202871	-1350	64194	
105	105	30057	202811	-1683	64108	
106	106	30057	202801	-1743	64014	
107	107	30413	202797	-1758	63939	
108	108	30606	202781	-1835	63453	
109	109	30484	202819	-1468	63779	
110	110	30587	202833	-1470	63648	
111	111	30492	202849	-1244	63928	
112	112	30564	202837	-1309	63830	
113	113	30332	202831	-1355	63529	
114	114	30027	202863	-1448	63803	
115	115	30024	202827	-1601	63744	
116	116	29757	202807	-1628	63691	
117	117	29973	202819	-1598	63638	
118	118	30167	202807	-1677	63141	
119	119	30099	202833	-1373	63302	
120	120	30211	202851	-1301	63410	
121	121	30384	202859	-1349	63635	
122	122	30583	202839	-1292	63599	
123	123	30484	202811	-1308	63542	
124	124	30241	202835	-1479	63850	
125	125	30273	202797	-1752	63842	
126	126	30068	202769	-1759	63765	
127	127	30238	202787	-1779	63803	
128	128	30356	202773	-1871	63509	
129	129	30175	202793	-1549	63693	
130	130	30153	202817	-1507	63610	
131	131	30200	202829	-1364	63637	
132	132	30250	202823	-1337	63683	
133	133	30218	202793	-1455	63532	
134	134	30097	202815	-1483	63848	
135	135	30277	202787	-1710	64016	
136	136	30318	202753	-1685	63862	
137	137	30442	202775	-1673	63830	
138	138	30821	202763	-1820	63365	
139	139	30812	202785	-1539	63501	
140	140	30702	202825	-1512	63492	
141	141	30621	202835	-1431	63514	
142	142	30609	202837	-1330	63631	
143	143	30510	202815	-1411	63333	
144	144	30159	202843	-1393	63604	
145	145	30080	202829	-1709	63769	
146	146	29898	202787	-1810	63779	
147	147	29993	202787	-1814	63973	
148	148	30335	202765	-1894	63467	
149	149	30448	202781	-1710	63388	
150	150	30461	202809	-1616	63353	
151	151	30485	202829	-1663	63319	
152	152	30629	202835	-1456	63499	
153	153	30723	202813	-1609	63091	
154	154	30479	202831	-1622	63440	
155	155	30379	202807	-1904	63722	
156	156	30303	202763	-1977	63548	
157	157	30229	202775	-1948	63694	
158	158	30449	202761	-2133	63347	
159	159	30472	202767	-1874	63310	
160	160	30304	202799	-1723	63512	
161	161	30257	202809	-1791	63322	
162	162	30298	202813	-1561	63688	
163	163	30484	202781	-1563	63611	
164	164	30343	202793	-1563	63904	
165	165	30409	202777	-1927	64207	
166	166	30324	202715	-2078	64030	
167	167	30349	202715	-2027	64178	
168	168	30678	202709	-2149	63844	
169	169	30697	202719	-2116	63595	
170	170	30614	202761	-1879	63687	
171	171	30517	202783	-1873	63593	
172	172	30559	202795	-1631	63837	
173	173	30516	202773	-1646	63567	
174	174	30175	202789	-1483	63667	
175	175	30078	202791	-1700	63923	
176	176	29973	202739	-1842	63685	
177	177	29903	202745	-1693	63782	
178	178	30232	202729	-1859	63337	
179	179	30450	202725	-1715	63129	
180	180	30455	202757	-1482	63403	
181	181	30443	202779	-1534	63476	
182	182	30601	202789	-1373	63579	
183	183	30730	202769	-1523	63374	
184	184	30552	202779	-1408	63403	
185	185	30366	202805	-1661	63757	
186	186	30288	202763	-1865	63580	
187	187	30101	202761	-1824	63596	
188	188	30306	202767	-1928	63440	
189	189	30387	202759	-1934	63195	
190	190	30323	202789	-1630	63418	
191	191	30223	202807	-1593	63418	
192	192	30370	202817	-1324	63518	
193	193	30529	202797	-1270	63381	
194	194	30357	202793	-1268	63362	
195	195	30295	202807	-1506	63806	
196	196	30447	202759	-1798	63654	
197	197	30368	202749	-1885	63508	
198	198	30647	202757	-1883	63289	
199	199	30775	202751	-2012	62859	
200	200	30717	202781	-1655	63077	
201	201	30597	202801	-1684	63183	
202	202	30609	202807	-1505	63492	
203	203	30680	202787	-1489	63676	
204	204	30585	202767	-1479	63368	
205	205	30338	202795	-1689	63709	
206	206	30289	202761	-1903	63465	
207	207	30056	202743	-1815	63256	
208	208	30342	202757	-1812	63233	
209	209	30667	202747	-1951	62730	
210	210	30752	202773	-1666	62845	
211	211	30667	202793	-1675	62882	
212	212	30778	202807	-1572	62860	
213	213	30815	202803	-1529	62912	
214	214	30637	202787	-1432	62705	
215	215	30494	202811	-1604	63186	
216	216	30325	202775	-1803	63349	
217	217	30149	202741	-1884	63196	
218	218	30301	202755	-1933	63214	
219	219	30450	202743	-2113	62457	
220	220	30413	202765	-1910	62516	
221	221	30267	202787	-1767	62677	
222	222	30384	202797	-1653	62685	
223	223	30592	202799	-1568	62896	
224	224	30605	202773	-1593	62692	
225	225	30438	202799	-1617	62972	
226	226	30448	202783	-1860	63271	
227	227	30505	202741	-1932	63130	
228	228	30725	202751	-1952	63288	
229	229	30851	202747	-2032	62717	
230	230	30833	202763	-1849	62597	
231	231	30633	202795	-1718	62699	
232	232	30452	202807	-1632	62727	
233	233	30483	202811	-1407	63009	
234	234	30498	202785	-1517	62625	
235	235	30238	202797	-1566	62981	
236	236	30122	202783	-1746	63178	
237	237	30051	202747	-1885	62857	
238	238	30219	202755	-1780	63040	
239	239	30654	202753	-1863	62873	
240	240	30747	202751	-1740	62800	
241	241	30816	202783	-1641	63074	
242	242	30809	202789	-1728	63067	
243	243	31003	202791	-1612	63340	
244	244	31061	202753	-1827	63173	
245	245	30575	202755	-1834	63203	
246	246	30378	202769	-2044	63577	
247	247	30272	202713	-2155	63254	
248	248	30134	202725	-2184	63145	
249	249	30300	202723	-2232	62774	
250	250	30326	202729	-2047	62503	
251	251	30326	202761	-1758	62668	
252	252	30447	202773	-1812	62588	
253	253	30671	202785	-1644	62711	
254	254	30726	202769	-1617	62615	
255	255	30579	202769	-1636	62719	
256	256	30399	202783	-1855	63138	
257	257	30511	202733	-1890	63015	
258	258	30419	202735	-1941	63194	
259	259	30626	202741	-2065	62983	
260	260	30688	202739	-2085	62829	
261	261	30609	202769	-1684	63166	
262	262	30546	202785	-1748	62978	
263	263	30539	202793	-1433	63273	
264	264	30485	202773	-1582	62977	
265	265	30184	202771	-1486	62894	
266	266	30096	202791	-1601	63408	
267	267	30211	202743	-1761	63377	
268	268	30289	202725	-1827	63410	
269	269	30577	202731	-1942	63289	
270	270	30753	202717	-2078	62794	
271	271	30789	202749	-1817	62859	
272	272	30696	202775	-1740	62835	
273	273	30860	202785	-1488	63217	
274	274	30918	202771	-1613	63257	
275	275	30666	202763	-1702	62953	
276	276	30338	202791	-1698	63389	
277	277	30212	202757	-1873	63388	
278	278	30063	202737	-1911	63461	
279	279	30308	202745	-1874	63618	
280	280	30577	202727	-1987	63178	
281	281	30620	202747	-1690	63279	
282	282	30709	202773	-1697	63186	
283	283	30933	202789	-1560	63323	
284	284	31018	202783	-1492	63452	
285	285	31007	202765	-1526	63086	
286	286	30783	202793	-1669	63256	
287	287	30676	202765	-1921	63297	
288	288	30554	202741	-1990	63208	
289	289	30645	202753	-1989	63296	
290	290	30739	202745	-2130	62733	
291	291	30609	202769	-1865	62792	
292	292	30422	202797	-1658	63037	
293	293	30475	202803	-1646	63245	
294	294	30637	202791	-1510	63372	
295	295	30627	202767	-1588	63059	
296	296	30416	202791	-1601	63179	
297	297	30436	202771	-1897	63199	
298	298	30397	202731	-1961	62950	
299	299	30516	202747	-1992	62994	
300	300	30717	202739	-2150	62375	
301	301	30748	202755	-2059	62237	
302	302	30732	202787	-1853	62417	
303	303	30715	202803	-1755	62444	
304	304	30539	202815	-1548	62785	
305	305	30442	202785	-1647	62716	
306	306	30267	202803	-1581	62983	
307	307	30164	202789	-1802	63251	
308	308	30139	202735	-1888	63086	
309	309	30161	202749	-1829	63279	
310	310	30471	202737	-2040	62847	
311	311	30514	202753	-1901	62698	
312	312	30694	202783	-1686	62865	
313	313	30689	202795	-1737	62727	
314	314	30847	202805	-1537	62998	
315	315	30896	202779	-1476	62859	
316	316	30735	202797	-1576	62927	
317	317	30608	202781	-1965	63198	
318	318	30360	202715	-2108	63133	
319	319	30246	202729	-2052	63084	
320	320	30404	202727	-2170	62637	
321	321	30419	202739	-2069	62388	
322	322	30314	202771	-1735	62661	
323	323	30264	202785	-1758	62558	
324	324	30412	202791	-1516	62888	
325	325	30432	202767	-1512	62774	
326	326	30363	202773	-1545	62537	
327	327	30313	202789	-1750	62814	
328	328	30261	202739	-1954	62445	
329	329	30231	202739	-1957	62431	
330	330	30510	202743	-2040	62226	
331	331	30667	202741	-2041	61943	
332	332	30589	202777	-1742	62450	
333	333	30561	202795	-1823	62555	
334	334	30641	202795	-1630	62985	
335	335	30659	202765	-1669	62880	
