Sample in Buffer	Sample in Window	adc_data_ch0	adc_data_ch1	adc_data_ch2	adc_data_ch3
0	0	-2362	1741	924	413	
1	1	-1970	-1964	-2486	-2685	
2	2	1791	-2182	-1554	-1141	
3	3	2387	1479	2132	2380	
4	4	-1196	2660	2162	1774	
5	5	-2778	-659	-1485	-1895	
6	6	422	-2767	-2533	-2308	
7	7	2831	36	881	1295	
8	8	300	2855	2805	2625	
9	9	-2794	839	-54	-572	
10	10	-1108	-2527	-2773	-2800	
11	11	2455	-1418	-637	-171	
12	12	1698	2258	2659	2739	
13	13	-2028	2119	1393	905	
14	14	-2314	-1574	-2219	-2506	
15	15	1375	-2460	-1943	-1590	
16	16	2613	1018	1757	2077	
17	17	-706	2811	2452	2124	
18	18	-2868	-166	-1035	-1498	
19	19	-103	-2779	-2705	-2560	
20	20	2793	-469	377	830	
21	21	811	2743	2839	2745	
22	22	-2621	1313	440	-80	
23	23	-1556	-2284	-2673	-2784	
24	24	2162	-1837	-1109	-677	
25	25	2077	1899	2431	2603	
26	26	-1638	2421	1801	1347	
27	27	-2583	-1138	-1887	-2237	
28	28	911	-2655	-2281	-1973	
29	29	2765	538	1344	1725	
30	30	-190	2876	2667	2408	
31	31	-2884	345	-544	-1048	
32	32	-610	-2696	-2788	-2721	
33	33	2669	-960	-127	339	
34	34	1279	2535	2793	2795	
35	35	-2364	1747	936	425	
36	36	-1969	-1966	-2487	-2694	
37	37	1805	-2189	-1555	-1142	
38	38	2379	1478	2120	2378	
39	39	-1189	2661	2161	1767	
40	40	-2779	-659	-1486	-1893	
41	41	424	-2758	-2542	-2299	
42	42	2822	29	880	1295	
43	43	306	2854	2802	2623	
44	44	-2797	828	-15	-556	
45	45	-1098	-2534	-2776	-2804	
46	46	2457	-1410	-627	-156	
47	47	1701	2252	2655	2749	
48	48	-2023	2134	1393	910	
49	49	-2306	-1584	-2227	-2504	
50	50	1372	-2458	-1946	-1581	
51	51	2618	1027	1759	2089	
52	52	-700	2809	2448	2128	
53	53	-2870	-160	-1033	-1493	
54	54	-107	-2781	-2712	-2546	
55	55	2785	-464	380	825	
56	56	799	2739	2840	2752	
57	57	-2612	1306	435	-84	
58	58	-1570	-2291	-2670	-2790	
59	59	2158	-1836	-1122	-669	
60	60	2081	1901	2430	2604	
61	61	-1644	2424	1808	1360	
62	62	-2588	-1139	-1875	-2238	
63	63	921	-2661	-2282	-1980	
64	64	2766	548	1346	1722	
65	65	-199	2872	2666	2411	
66	66	-2881	350	-548	-1059	
67	67	-602	-2699	-2788	-2720	
68	68	2662	-961	-129	345	
69	69	1265	2536	2791	2791	
70	70	-2366	1736	925	415	
71	71	-1967	-1965	-2487	-2691	
72	72	1797	-2182	-1554	-1138	
73	73	2385	1489	2133	2381	
74	74	-1192	2664	2159	1767	
75	75	-2782	-663	-1477	-1889	
76	76	413	-2763	-2538	-2309	
77	77	2831	40	874	1300	
78	78	310	2855	2796	2626	
79	79	-2790	846	-46	-567	
80	80	-1107	-2539	-2773	-2804	
81	81	2457	-1414	-634	-164	
82	82	1703	2251	2658	2749	
83	83	-2030	2113	1396	902	
84	84	-2310	-1579	-2224	-2495	
85	85	1368	-2460	-1942	-1583	
86	86	2612	1022	1760	2078	
87	87	-714	2813	2452	2123	
88	88	-2872	-164	-1037	-1498	
89	89	-100	-2780	-2702	-2558	
90	90	2793	-469	376	828	
91	91	801	2740	2846	2755	
92	92	-2615	1311	439	-75	
93	93	-1570	-2282	-2678	-2787	
94	94	2161	-1844	-1104	-663	
95	95	2076	1900	2430	2604	
96	96	-1642	2431	1798	1356	
97	97	-2586	-1140	-1877	-2237	
98	98	914	-2660	-2276	-1982	
99	99	2763	542	1344	1722	
100	100	-205	2878	2661	2407	
101	101	-2879	336	-552	-1056	
102	102	-614	-2697	-2785	-2722	
103	103	2664	-969	-132	335	
104	104	1273	2536	2791	2800	
105	105	-2366	1744	937	415	
106	106	-1969	-1964	-2488	-2689	
107	107	1797	-2182	-1560	-1146	
108	108	2379	1481	2137	2378	
109	109	-1194	2658	2156	1757	
110	110	-2777	-662	-1486	-1902	
111	111	418	-2759	-2539	-2302	
112	112	2827	40	877	1301	
113	113	306	2855	2800	2620	
